2025-11-09 22:28:40 | INFO | alejandria | 127.0.0.1 | GET /signup.css -> 200 2ms size=2881 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='http://127.0.0.1:5000/signup.html' user='-'
2025-11-09 22:28:40 | INFO | alejandria | 127.0.0.1 | GET /favicon.ico -> 404 1ms size=22 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='http://127.0.0.1:5000/signup.html' user='-'
2025-11-09 22:28:42 | INFO | alejandria | 127.0.0.1 | Serve /login.html
2025-11-09 22:28:42 | INFO | alejandria | 127.0.0.1 | GET /login.html -> 200 2ms size=1468 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='http://127.0.0.1:5000/signup.html' user='-'
2025-11-09 22:28:42 | INFO | alejandria | 127.0.0.1 | GET /static/signup.html -> 404 3ms size=22 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='http://127.0.0.1:5000/login.html' user='-'
2025-11-09 22:28:42 | INFO | alejandria | 127.0.0.1 | GET /favicon.ico -> 404 1ms size=22 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='http://127.0.0.1:5000/static/signup.html' user='-'
2025-11-09 22:29:32 | INFO | alejandria | 127.0.0.1 | GET /static/signup.html -> 404 3ms size=22 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='http://127.0.0.1:5000/login.html' user='-'
2025-11-09 22:29:32 | INFO | alejandria | 127.0.0.1 | GET /favicon.ico -> 404 2ms size=22 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='http://127.0.0.1:5000/static/signup.html' user='-'
2025-11-09 22:29:37 | INFO | alejandria | 127.0.0.1 | GET /static/signup.html -> 404 2ms size=22 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='-' user='-'
2025-11-09 22:29:37 | INFO | alejandria | 127.0.0.1 | GET /favicon.ico -> 404 2ms size=22 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='http://127.0.0.1:5000/static/signup.html' user='-'
2025-11-09 22:29:45 | INFO | alejandria | 127.0.0.1 | GET /static/signup.html -> 404 3ms size=22 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='http://127.0.0.1:5000/login.html' user='-'
2025-11-09 22:29:45 | INFO | alejandria | 127.0.0.1 | GET /favicon.ico -> 404 1ms size=22 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='http://127.0.0.1:5000/static/signup.html' user='-'
2025-11-09 22:30:51 | INFO | alejandria | 127.0.0.1 | GET /static/signup.html -> 404 2ms size=22 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='http://127.0.0.1:5000/login.html' user='-'
2025-11-09 22:30:51 | INFO | alejandria | 127.0.0.1 | GET /favicon.ico -> 404 1ms size=22 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='http://127.0.0.1:5000/static/signup.html' user='-'
2025-11-09 22:30:56 | INFO | alejandria | 127.0.0.1 | GET /static/signup.html -> 404 2ms size=22 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='http://127.0.0.1:5000/login.html' user='-'
2025-11-09 22:30:56 | INFO | alejandria | 127.0.0.1 | GET /favicon.ico -> 404 1ms size=22 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='http://127.0.0.1:5000/static/signup.html' user='-'
2025-11-09 22:32:27 | INFO | alejandria | - | Aplicación Alejandría iniciada
2025-11-09 22:32:40 | INFO | alejandria | - | Aplicación Alejandría iniciada
2025-11-09 22:36:30 | INFO | alejandria | - | Aplicación Alejandría iniciada
